entity_code,avg_longitude,avg_latitude
2552R,4.2399436301037641,52.05027288719878
2566R,4.2465463327623567,52.0757889100441
2273L,4.3594612073667607,52.075668340755151
2291W,4.2723305339019193,52.032149798778086
2555E,4.2387296069445215,52.067107588639033
2591S,4.3659102534821184,52.098400594639592
2284D,4.3151337883970786,52.037129261314767
2574B,4.2770404531011286,52.061708266625381
2596V,4.3254133220987461,52.092357433779426
2582X,4.2745559041872543,52.088975984170027
2573W,4.289886943678523,52.061112502282754
2524H,4.312932030478791,52.053449429613146
2284T,4.3089968407013286,52.045248991303964
2566X,4.2585071560392107,52.080995235406604
2564K,4.2657335763190076,52.069873042469091
2553B,4.2300729211844716,52.055862905203405
2533J,4.2938396078301233,52.050878113236827
2548R,4.2913343989784973,52.024982025072354
2267B,4.357030146917106,52.058582045766016
2593C,4.3416373260557588,52.0830205410417
2282X,4.3378238462381979,52.050435655155987
2517B,4.2860996580629163,52.079905935043151
2273B,4.3664923867455139,52.077430642121556
2593H,4.3485734662304978,52.0837922055265
2525S,4.3030062451127824,52.064485764633
2548A,4.2866334941747173,52.034107622281113
2544G,4.2596558941816625,52.042574664088747
2593E,4.3396754822398034,52.086368075390425
2525P,4.2977769354758095,52.068833094537894
2548H,4.2863828718755741,52.029936345981795
2515B,4.320727668732653,52.070862238889795
2553S,4.2289224539969545,52.054046559538314
2585X,4.3085003810974305,52.091257698790656
2552M,4.2532894135351391,52.054357772047219
2597E,4.3205271666811207,52.100850475679664
2283Z,4.3204892085718321,52.040897522728031
2596A,4.3178286327969433,52.087205516332219
2563X,4.2727624891366291,52.073395799219632
2565G,4.2655243639638316,52.079061035001615
2285H,4.3016277106734364,52.034787730649889
2541H,4.277935375468517,52.042452705949231
2531P,4.30345074505261,52.049210216537439
2261C,4.3789212964675359,52.093327729274577
2526D,4.3130676487906445,52.067301577535886
2515R,4.3217298662380328,52.071575800318122
2271R,4.3764978834936779,52.075732291346718
2562E,4.2837815914218336,52.074163844467073
2548V,4.2995641863938756,52.020520225926305
2522A,4.3282633074118255,52.063141487886575
2511E,4.3192245806799594,52.079835420718112
2292D,4.2912733758619082,52.019515400219767
2551R,4.234498407889185,52.0562126989183
2555X,4.2500862194280371,52.063303454643041
2548G,4.2868327780532383,52.03395304753154
2516V,4.33706425967911,52.062722337753215
2516T,4.33509837653502,52.063934936687083
2581V,4.268818802986714,52.090605988964256
2544S,4.2509177658926465,52.041682677027637
2531R,4.3070524011882423,52.050601818787449
2574H,4.2778704100654066,52.06695475904985
2551C,4.2284213277922653,52.059533630305452
2523C,4.3176686777615343,52.057105516002594
2583M,4.2554034344440153,52.087737745677188
2592S,4.3554582677000786,52.094154697879382
2542J,4.2580664566045057,52.038550447022971
2531H,4.3044358887722014,52.050542810279751
2512J,4.2980217929646871,52.0718367635561
2572W,4.293014305289935,52.064116044521683
2266N,4.4064588933625615,52.083071488460966
2548N,4.2927480505840849,52.0342040655323
2561R,4.2774166829455691,52.070184223372422
2283H,4.3230397709068962,52.039516970634985
2281V,4.3424666668143557,52.055471198672258
2274P,4.3430331454745446,52.076094672403762
2514B,4.3140837700917505,52.085206608333415
2282P,4.3338594301512883,52.057599413205288
2595S,4.3390228337022778,52.081596640962246
2518L,4.2925867255566246,52.074871070415867
2283S,4.318609822262875,52.045752362059893
2542X,4.2598687986763766,52.033424692170193
2561T,4.2797711101377134,52.076568762599734
2593R,4.3413762043380242,52.088369267713816
2565W,4.2644143618731887,52.0778301069086
2524V,4.3104071033869049,52.053735933992208
2516A,4.342795751301832,52.068236273155414
2565K,4.2717412880449412,52.078173261069892
2548S,4.2949960153895219,52.026434749768711
2551B,4.2267534610558943,52.059122620817604
2274H,4.3607673314619069,52.072106637895459
2541V,4.2777087581246542,52.051441806170452
2592T,4.3542960127055359,52.092003203973448
2518D,4.3020015749950788,52.0861741381564
2553X,4.2308795104493964,52.053815442599621
2286T,4.312303559634711,52.028976354265112
2532R,4.2950208171965585,52.04849899292801
2594N,4.3237520198297332,52.085423507517547
2587G,4.2932414146650428,52.110066948483762
2525V,4.30731341142843,52.063136666432179
2266C,4.3983546195544525,52.076805953168
2283C,4.31779691885623,52.042194842780965
2574P,4.27436811837092,52.065165262455992
2594X,4.3652799644720117,52.091597369681921
2572J,4.2957547210451628,52.06375723374083
2286R,4.3098565210449893,52.02934500199715
2597H,4.3211273764170377,52.104743612176676
2571E,4.2879865587870034,52.065186805110805
2272N,4.3729810226849377,52.0885877753933
2532X,4.2929679435384775,52.044518899954355
2555V,4.2447245862022545,52.0650204000037
2495A,4.3590097685375042,52.055166650744518
2262B,4.3866154483098336,52.091834690291989
2545H,4.282731473492464,52.043686111590148
2561S,4.2776609761621547,52.071391404150177
2522V,4.3242876314554444,52.058417602900569
2512Z,4.3082673830125833,52.071630841606925
2521B,4.3181991422586483,52.064257708848245
2595W,4.3308877777698305,52.0797797393793
2525J,4.3003358174938366,52.060846266636467
2286N,4.3036182135224639,52.027385777973009
2542K,4.2631236158714971,52.036439265966919
2541S,4.2794922611274071,52.044559071672175
2546A,4.2757762206539871,52.057775455055484
2541G,4.2671645366076723,52.040429644550969
2516P,4.3324988158728637,52.066605073067535
2526B,4.3121035955905258,52.067533486369541
2584H,4.2785389790250594,52.103888077051131
2514E,4.3113590878698451,52.082000531683676
2525H,4.2979513999005681,52.06148029383175
2521X,4.32141098621978,52.061584042963631
2555Z,4.2551774469471919,52.062983503848962
2552C,4.2402320695949127,52.052769304214429
2566D,4.2445466504394,52.078815250778959
2515T,4.3255162720962232,52.075226071237253
2545S,4.2721874200251007,52.047420381178647
2597A,4.3175142997226672,52.109315597919682
2517T,4.2800611848937438,52.083684158144656
2555W,4.2396502812956092,52.064267508366967
2584E,4.2832627652592867,52.1038895115914
2523E,4.3170140671326065,52.056230331705379
2543A,4.2641223500845626,52.043463437389349
2521E,4.3233471159486445,52.06639190060725
2515C,4.32132197126637,52.070382032414422
2585A,4.3062934694550732,52.0882869934522
2564R,4.2565068886135391,52.066173524450733
2273R,4.3492795051239233,52.081147037451544
2585D,4.3030587117838275,52.089093613755004
2564T,4.256968901131633,52.069422518750137
2542R,4.2769080641194686,52.038209010393992
2273A,4.3692531753154027,52.078274661334973
2595R,4.3390258772987877,52.08169414210559
2273E,4.359138519019699,52.078581989213554
2587E,4.2911612774477081,52.1102061285684
2544R,4.2501512502387042,52.039944884451515
2565D,4.2625438738122252,52.078921813631851
